name,address,type_of_place,rating,reviews,contact,url
City Centre,"89VH+59W, Bhupindra Rd, Model Town, Patiala, Punjab 147001",malls in india,4.0,"(2,298)",N/A,"https://www.google.com/maps/place/City+Centre/@30.3429931,76.0735833,11z/data=!3m1!5s0x390fddb888f47723:0xab3da1fdb9d6fa64!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x391028b90c0f53c1:0xdf3780e30b61b2b5!8m2!3d30.3429931!4d76.3784539!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1hc4nj2xy?entry=ttu"
Dhillon Plaza,"Dhillon Plaza, Zirakpur, Chattbir Rd, Bir Chhat, Punjab 140603",malls in india,4.3,"(1,369)",0172 274 0059,"https://www.google.com/maps/place/Dhillon+Plaza/@30.6199434,76.5183713,11z/data=!3m1!5s0x390f9534e5678ea9:0x8782d3fa234ccf76!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390febaf70f26bd1:0x719cacba3b9c958d!8m2!3d30.6199434!4d76.8232419!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11f62g3p04?entry=ttu"
VRC City Mall,"Heera Bagh, Patiala, Punjab 147002",malls in india,4.2,(478),088266 09342,"https://www.google.com/maps/place/VRC+City+Mall/@30.3398262,76.1280254,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x39102840a6afb589:0x294c84858e5b21a4!8m2!3d30.3398262!4d76.432896!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11f3vqkbqk?entry=ttu"
Nexus Elante Mall,"Industrial Area Phase I, Chandigarh, 160002",malls in india,4.6,"(118,809)",0172 500 5000,"https://www.google.com/maps/place/Nexus+Elante+Mall/@30.705717,76.4960459,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fecea27086f09:0x947c146c0695123!8m2!3d30.705717!4d76.8009165!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1tfk7dc8?entry=ttu"
CP67 Mall Mohali,"Site No, 252, International Airport Road, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062",malls in india,4.4,"(1,823)",097296 76767,"https://www.google.com/maps/place/CP67+Mall+Mohali/@30.705717,76.4960459,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fefb32938980b:0x1b5bba1f090e8993!8m2!3d30.6770008!4d76.7240876!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11kjf3ky_f?entry=ttu"
VIP SHOPPING CENTRE,"JRQ8+66H, VIP Rd, Zirakpur, Punjab 140603",malls in india,4.1,(381),N/A,"https://www.google.com/maps/place/VIP+SHOPPING+CENTRE/@30.705717,76.4960459,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb28ba53f83b:0x8e6b0cc4c7ce696f!8m2!3d30.638054!4d76.8156075!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11hbvb88bc?entry=ttu"
VR Punjab,"NH-21, Chandigarh Kharar, Chandigarh Rd, Sector 118, Sahibzada Ajit Singh Nagar, Punjab 160055",malls in india,4.4,"(42,750)",0172 670 3300,"https://www.google.com/maps/place/VR+Punjab/@30.705717,76.4960459,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fefcf29dbd303:0xcdc41c089a8c7326!8m2!3d30.7377007!4d76.6791893!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11hbvzf2lr?entry=ttu"
IISER Mohali Shopping Complex,"MP7G+G5V IISER Campus, Sector 81, Sahibzada Ajit Singh Nagar, Punjab 140306",malls in india,4.0,(286),090411 83271,"https://www.google.com/maps/place/IISER+Mohali+Shopping+Complex/@30.705717,76.4960459,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fe953da7e9c4f:0x1399b170df2f9ed3!8m2!3d30.6638697!4d76.7254157!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11ckwzr721?entry=ttu"
BD Mall,"9, Bhadson Rd, Prem Nagar, Bhadson Rd, Manjit Nagar, Prem Nagar, Patiala, Punjab 147004",malls in india,3.8,(290),070094 90311,"https://www.google.com/maps/place/BD+Mall/@30.3629937,76.0663014,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x391026024bda76b3:0xcf7b64fc9883596a!8m2!3d30.3629937!4d76.371172!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11c2pyg18d?entry=ttu"
Galaxy World Shopping Mall,"Urban Estate, Model Town, Sector 7, Ambala, Haryana 132003",malls in india,3.6,(469),089306 78551,"https://www.google.com/maps/place/Galaxy+World+Shopping+Mall/@30.37418,76.477204,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fc9202237911d:0x21a11d5fea9fab72!8m2!3d30.37418!4d76.7820746!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11hz015_3_?entry=ttu"
Raj Kamal Square,"89VH+HRJ, Punjabi Bagh, Patiala, Punjab 147001",malls in india,4.6,(143),N/A,"https://www.google.com/maps/place/Raj+Kamal+Square/@30.3439622,76.0746498,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x391029635b287909:0x2769fb0fabbf5b39!8m2!3d30.3439622!4d76.3795204!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11m_y8m3yb?entry=ttu"
Lee Plaza Mall,"Lee Plaza, Guru Teg Bahadur Colony, Malerkotla, Punjab 148023",malls in india,3.5,(372),095928 81553,"https://www.google.com/maps/place/Lee+Plaza+Mall/@30.5235889,75.5795405,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x391067cf6e55b83b:0x7dc107a7289ffa50!8m2!3d30.5235889!4d75.8844111!15sCg5tYWxscyBpbiBpbmRpYZIBC291dGxldF9tYWxs4AEA!16s%2Fg%2F11c6cnwvc9?entry=ttu"
Panchkula Shopping Complex,"Panchkula Shopping Complex, Peer Muchalla Rd, Dhakoli, Zirakpur, Punjab 140603",malls in india,4.2,(697),094172 75242,"https://www.google.com/maps/place/Panchkula+Shopping+Complex/@30.6547705,76.5460162,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390f94ea25768e19:0xca4465e748d8e9d8!8m2!3d30.6547705!4d76.8508868!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11g6s5cf2h?entry=ttu"
Buy low india,"Buylow india, near preet family dhaba, Punjab 140603",malls in india,4.0,(758),N/A,"https://www.google.com/maps/place/Buy+low+india/@30.6547705,76.5460162,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb4184f661f7:0xf92f4fca1bbcf9a6!8m2!3d30.6097717!4d76.7763441!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11vdqhr62r?entry=ttu"
THE OUTLET VILLAGE,"7W2H+V9, Gurdaspura, Punjab 148001",malls in india,4.2,(53),N/A,"https://www.google.com/maps/place/THE+OUTLET+VILLAGE/@30.2526767,75.6235874,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x39104facfc80a911:0x7dd820b10a3b89f5!8m2!3d30.2526767!4d75.928458!15sCg5tYWxscyBpbiBpbmRpYZIBC291dGxldF9tYWxs4AEA!16s%2Fg%2F11smtvs_by?entry=ttu"
Sirhind City Centre,"Cafe Arabica Cáfé Arabica, Patiala Bypass Rd, Preet Nagar, Fatehgarh Sahib, Punjab 140407",malls in india,3.9,(17),N/A,"https://www.google.com/maps/place/Sirhind+City+Centre/@30.6408108,76.0952112,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x39101d28d271ef57:0xf32c2182f7ad927!8m2!3d30.6408108!4d76.4000818!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11ghp_w427?entry=ttu"
Mohali walk,"Site Office, 1-2, Sector 62, Sahibzada Ajit Singh Nagar, Chandigarh 160062",malls in india,4.4,(109),085658 85656,"https://www.google.com/maps/place/Mohali+walk/@30.6968098,76.4272271,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fee9e0d7aa19d:0xcfcabff5d6211e3b!8m2!3d30.6968098!4d76.7320977!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11g01v5f_w?entry=ttu"
AIPL Celebration Bazaar Khanna,"AIPL, The Celebration Bazaar, Grand Trunk Rd, Khanna, Punjab 141401",malls in india,4.3,(522),098143 94637,"https://www.google.com/maps/place/AIPL+Celebration+Bazaar+Khanna/@30.6861835,75.9472958,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x3910111ff3a91bb5:0xfcd7754f7133d8a7!8m2!3d30.6861835!4d76.2521664!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11gxx7l9kz?entry=ttu"
DLF Mall of India,"Sector 18, Noida, Uttar Pradesh 201301",malls in india,4.6,"(147,255)",0120 620 9971,"https://www.google.com/maps/place/DLF+Mall+of+India/@28.5673409,77.0162597,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390ce521218557b5:0x45051fcfc696f085!8m2!3d28.5673409!4d77.3211303!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16zL20vMGRjcmJo?entry=ttu"
Singla Shopping Complex,"Diwan Todar Mal Flyover Rd, Shamsher Nagar, Sirhind, Punjab 140406",malls in india,3.7,(27),098153 71310,"https://www.google.com/maps/place/Singla+Shopping+Complex/@30.6286374,76.0871294,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x39101e9ead9d091b:0x70f9a8941f7453a5!8m2!3d30.6286374!4d76.392!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11cn0z7fvg?entry=ttu"
Ansal Plaza,"1a, Ferozepur Rd, PAU Gate No. 3, Maharaj Nagar, Ludhiana, Punjab 141004",malls in india,3.6,"(4,246)",N/A,"https://www.google.com/maps/place/Ansal+Plaza/@30.8980535,75.5162768,11z/data=!3m1!5s0x391a83cf7606224f:0x7141173a65fa87fd!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x391a83cf765b319b:0x6e16a05e58e75b7!8m2!3d30.8980535!4d75.8211474!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1hdz_y6bx?entry=ttu"
Shingari Complex,"9QQR+8XG, Ambala - Chandigarh Expy, Geeta Nagari, Geeta Colony, Baldev Nagar, Ambala, Haryana 134007",malls in india,4.1,(75),098677 73330,"https://www.google.com/maps/place/Shingari+Complex/@30.388312,76.4875883,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fc86f48aa2941:0xcb19684bfbb576e6!8m2!3d30.388312!4d76.7924589!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1pyqvw10t?entry=ttu"
Central Plaza,"Emaar MGF Mohali Sector 105, Sahibzada Ajit Singh Nagar, Punjab 140307",malls in india,4.1,(313),N/A,"https://www.google.com/maps/place/Central+Plaza/@30.6556755,76.3787388,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fe8d15aaaaaab:0xff500df2eb806742!8m2!3d30.6556755!4d76.6836094!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11b6dr870h?entry=ttu"
SS Emporio Plaza,"SCO 4, Singhpura Rd, Zirakpur, Punjab 140603",malls in india,4.2,(104),092074 92074,"https://www.google.com/maps/place/SS+Emporio+Plaza/@30.6556755,76.3787388,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb17d8c98c55:0x5d37e547bcdf6538!8m2!3d30.6277163!4d76.823585!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11mwhbtgzf?entry=ttu"
ROSELYN SQUARE,"PR-7, Aerocity Rd, Zirakpur, Punjab 140603",malls in india,4.4,(225),091156 33399,"https://www.google.com/maps/place/ROSELYN+SQUARE/@30.6556755,76.3787388,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb55ad9c196b:0x23884da72dc08898!8m2!3d30.6206597!4d76.8169832!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11g23182w5?entry=ttu"
VR Ambarsar,"Plot No. C- Adjacent Nirankari Colony, 4, Circular Rd, Nirankari Colony, Amritsar, Punjab 143001",malls in india,4.4,"(18,793)",0183 503 0691,"https://www.google.com/maps/place/VR+Ambarsar/@31.6587242,74.5741012,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x39196363998c2603:0x37e036ec24e0a89f!8m2!3d31.6587242!4d74.8789718!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1pp2tkv8z?entry=ttu"
Crossroads Mall,"1, Old Survey Rd, Karanpur, Dehradun, Uttarakhand 248001",malls in india,3.8,"(11,028)",082669 10999,"https://www.google.com/maps/place/Crossroads+Mall/@30.3325375,77.7488418,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390929c57d1d467b:0x1ffa6cb422a81800!8m2!3d30.3325375!4d78.0537124!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F124ss82d8?entry=ttu"
Elante,"Industrial Area Phase I, Chandigarh, 160002",malls in india,4.6,(408),078372 54133,"https://www.google.com/maps/place/Elante/@30.7055235,76.4951738,11z/data=!3m1!5s0x390fece98a30442b:0x3e305f6d77746554!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390fece9829a3185:0xcda1a37526eee60d!8m2!3d30.7055235!4d76.8000444!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11gfk3bzxw?entry=ttu"
Nabha One Mall,"One Mall, KartarPura Mohalla Road, near Civil Hospital, Nabha, Punjab 147201",malls in india,4.2,(36),N/A,"https://www.google.com/maps/place/Nabha+One+Mall/@30.3735712,75.8420846,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x3910391b001ce951:0xd7845147971237ed!8m2!3d30.3735712!4d76.1469552!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11j2y272b0?entry=ttu"
Juneja square,"Leafstone Apartments, Highland Marg, Zirakpur, Nabha, Punjab 140603",malls in india,4.5,(13),N/A,"https://www.google.com/maps/place/Juneja+square/@30.6454165,76.496459,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390feb615f764e7f:0x6c63fb4e5bd799fc!8m2!3d30.6454165!4d76.8013296!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11pq98trhl?entry=ttu"
Vegas Mall,"Plot no 6, North, Pocket 1, Sector 14 Dwarka, Dwarka, Delhi, 110078",malls in india,4.6,"(37,797)",011 6650 2020,"https://www.google.com/maps/place/Vegas+Mall/@28.6007474,76.7247014,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x390d1dd61eb460af:0xe89377d97456bc5e!8m2!3d28.6007474!4d77.029572!15sCg5tYWxscyBpbiBpbmRpYVoQIg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11fcs40sx8?entry=ttu"
RED Ambulances - RED.Health Gurgaon,"Arya Samaj Rd, Sector 44, Gurugram, Haryana 122002",Hostpitals in india,5.0,(1),040 4189 2199,"https://www.google.com/maps/place/RED+Ambulances+-+RED.Health+Gurgaon/@28.6005481,76.7247005,11z/data=!4m9!1m2!2m1!1sHostpitals+in+india!3m5!1s0x390d199686b0ef5d:0x6c90fbcb4405f982!8m2!3d28.457129!4d77.0710131!16s%2Fg%2F11v0wtvfz8?entry=ttu"
"Fortis Flt Lt Rajan Dhall Hospital, Vasant Kunj, New Delhi","Fortis Flt. Lt. Rajan Dhall Hospital, Aruna Asaf Ali Marg, Pocket 1, Sector B, Vasant Kunj, New Delhi, Delhi 110070",Hostpitals in india,4.5,"(4,999)",097110 90119,"https://www.google.com/maps/place/Fortis+Flt+Lt+Rajan+Dhall+Hospital,+Vasant+Kunj,+New+Delhi/@28.6005481,76.7247005,11z/data=!3m1!5s0x390d1e70a41dda8d:0x49240b1ba9a4433!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d1d080c000001:0xdc68ebc7ff708935!8m2!3d28.5194391!4d77.1604048!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBwcml2YXRlX2hvc3BpdGFs4AEA!16s%2Fg%2F1tdqy301?entry=ttu"
Primus Super Speciality Hospital,"2, Chandragupta Marg, Opp Russian Embassy, Chanakyapuri, New Delhi, Delhi 110021",Hostpitals in india,3.5,"(1,235)",011 6620 6630,"https://www.google.com/maps/place/Primus+Super+Speciality+Hospital/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d1d68ebafe4b1:0x15e3c02de46eb6b6!8m2!3d28.5929448!4d77.1812159!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBwcml2YXRlX2hvc3BpdGFs4AEA!16s%2Fg%2F1tfzkqs4?entry=ttu"
Aakash Healthcare Super Speciality Hospital,"Hospital Plot, Road No. 201, Dwarka Sector-3, Dwarka, New Delhi, Delhi, 110075",Hostpitals in india,4.7,"(19,065)",011 4338 8888,"https://www.google.com/maps/place/Aakash+Healthcare+Super+Speciality+Hospital/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d053340000001:0x4611150c2d27d1fc!8m2!3d28.60522!4d77.0534511!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQhob3NwaXRhbOABAA!16s%2Fg%2F11c1q9ndqm?entry=ttu"
"CK Birla Hospital, Gurgaon","Nirvana Central Rd, Block J, Mayfield Garden, Sector 51, Gurugram, Haryana 122018",Hostpitals in india,4.5,"(4,139)",0124 488 2248,"https://www.google.com/maps/place/CK+Birla+Hospital,+Gurgaon/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d2278e586fb35:0x966e0f856cd6fa6a!8m2!3d28.4236108!4d77.0614902!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBwcml2YXRlX2hvc3BpdGFs4AEA!16s%2Fg%2F11fx7v3lsm?entry=ttu"
BLK-Max Super Speciality Hospital Delhi,"Pusa Rd, Radha Soami Satsang, Rajendra Place, New Delhi, Delhi, 110005",Hostpitals in india,4.7,"(16,407)",011 3040 3040,"https://www.google.com/maps/place/BLK-Max+Super+Speciality+Hospital+Delhi/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d029633b6af21:0x9a67323b63bcc188!8m2!3d28.6433105!4d77.1796932!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQhob3NwaXRhbOABAA!16s%2Fg%2F1tfzvwkd?entry=ttu"
TARAK HOSPITAL INDIA PRIVATE LIMITED,"C-7, Jai Bharat Enclave Vipin Garden , On Najafgarh Road Uttam Nagar,Dwarka Mor New Delhi, Delhi, 110059",Hostpitals in india,4.4,"(3,237)",082858 82288,"https://www.google.com/maps/place/TARAK+HOSPITAL+INDIA+PRIVATE+LIMITED/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d053877e675cd:0x795bd4e73aa4ba3b!8m2!3d28.6192087!4d77.0301776!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQhob3NwaXRhbOABAA!16s%2Fg%2F11b7cfd3gl?entry=ttu"
"Max Super Speciality Hospital, Saket (Max Saket)","1, 2, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Delhi 110017",Hostpitals in india,4.3,"(7,864)",011 2651 5050,"https://www.google.com/maps/place/Max+Super+Speciality+Hospital,+Saket+(Max+Saket)/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390ce1f427d4c5fb:0x582d47bbf4970bc1!8m2!3d28.527549!4d77.2119946!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQhob3NwaXRhbOABAA!16s%2Fm%2F0nhgv9_?entry=ttu"
THE SIGNATURE ADVANCED SUPER SPECIALITY HOSPITAL,"Near, Dwarka Expy, Sector 37D, Gurugram, Haryana 122006",Hostpitals in india,4.7,"(4,334)",062628 28213,"https://www.google.com/maps/place/THE+SIGNATURE+ADVANCED+SUPER+SPECIALITY+HOSPITAL/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d173de846aae7:0x6a40f46075d9f00b!8m2!3d28.4541997!4d76.9732182!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQhob3NwaXRhbOABAA!16s%2Fg%2F11rcsp345t?entry=ttu"
Aryan Hospital,"F289+XVH, 78, Old Railway Rd, Rattan Garden, Shivpuri Extension, Sector 7, Gurugram, Haryana 122001",Hostpitals in india,3.6,(630),N/A,"https://www.google.com/maps/place/Aryan+Hospital/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d19d2ed327641:0xe82baf86ae51842c!8m2!3d28.4695251!4d77.0195729!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F1ptzdg0w6?entry=ttu"
Park Hospital,"Q Block South City 2, Badshahpur Sohna Rd Hwy, Main, Sector 47, Gurugram, Haryana 122001",Hostpitals in india,4.8,"(12,126)",1800 102 6767,"https://www.google.com/maps/place/Park+Hospital/@28.6005481,76.7247005,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d2282e68c208d:0x25c6e5dd7f3bf41c!8m2!3d28.4199942!4d77.0483335!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12hkdwb2f?entry=ttu"
National Heart Institute,"49 50 Community Center, East of Kailash, New Delhi, Delhi 110065",Hostpitals in india,4.0,(671),011 4660 0700,"https://www.google.com/maps/place/National+Heart+Institute/@28.5573003,76.9409217,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390ce3ca007cfb83:0xdcfda3363c6f2cac!8m2!3d28.5573003!4d77.2457923!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQ5oZWFydF9ob3NwaXRhbOABAA!16s%2Fg%2F1tcwpj4x?entry=ttu"
Aarvy Healthcare Pvt Ltd.,"Sector 90, Gurugram, Haryana 122505",Hostpitals in india,4.5,"(1,819)",062628 00800,"https://www.google.com/maps/place/Aarvy+Healthcare+Pvt+Ltd./@28.4124268,76.6369597,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d3de3435baee7:0x99eb3254919dd297!8m2!3d28.4124268!4d76.9418303!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQhob3NwaXRhbOABAA!16s%2Fg%2F11fyx7kz8t?entry=ttu"
Aarvy Hospital - A unit of Medlix,"530/18, Jail Rd, Civil Lines, Gurugram, Haryana 122001",Hostpitals in india,3.4,(345),0124 422 2270,"https://www.google.com/maps/place/Aarvy+Hospital+-+A+unit+of+Medlix/@28.4124268,76.6369597,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d1837403ca68b:0xacf5df358c5eed71!8m2!3d28.4573968!4d77.0300716!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12hnlv82d?entry=ttu"
Venkateshwar Hospital,"Sector 12 Rd, Sector 18, Sector 18A Dwarka, Dwarka, New Delhi, Delhi, 110075",Hostpitals in india,4.4,"(12,124)",011 4855 5555,"https://www.google.com/maps/place/Venkateshwar+Hospital/@28.4124268,76.6369597,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d1ac3e8a4b27b:0x218f945a11993663!8m2!3d28.5885973!4d77.0380428!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBwcml2YXRlX2hvc3BpdGFs4AEA!16s%2Fg%2F11b7y83nv6?entry=ttu"
Sheetla Hospital (Apollo Spectra Hospitals),"New Railway Rd, near Dronoacharya Govt College, Manohar Nagar, Sector 8, Gurugram, Haryana 122001",Hostpitals in india,4.4,"(1,358)",0124 287 5800,"https://www.google.com/maps/place/Sheetla+Hospital+(Apollo+Spectra+Hospitals)/@28.4124268,76.6369597,11z/data=!3m1!5s0x390d19ccc68c32e5:0x4bf1895cf7e280fd!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d19ccdddf8c25:0x631b8b40049aa89f!8m2!3d28.4680789!4d77.0255676!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSAQhob3NwaXRhbOABAA!16s%2Fg%2F1tfrq9dg?entry=ttu"
"Paras Hospitals, Gurgaon","Phase- I, C-1, Sushant Lok Rd, Sector 43, Gurugram, Haryana 122002",Hostpitals in india,4.8,"(11,808)",080 3535 8702,"https://www.google.com/maps/place/Paras+Hospitals,+Gurgaon/@28.4124268,76.6369597,11z/data=!4m10!1m2!2m1!1sHostpitals+in+india!3m6!1s0x390d19041dfb4c59:0xb185f5d948cb2f8f!8m2!3d28.4511221!4d77.0876594!15sChJIb3NwaXRhbHMgaW4gaW5kaWGSARBwcml2YXRlX2hvc3BpdGFs4AEA!16s%2Fg%2F11fmdxq1f4?entry=ttu"
